"b,l,j,h,c,"","",!,z,v,:,t,p,x,n,k,i,w,a,e,y,o,g,q,s,m,r,u, ,f,d";
"b,f,j,h,c,"","",!,z,v,:,t,p,x,n,r,l,k,i,w,a,e,y,o,g,q,s,m,d,u,";
"b,!,f,j,h,c,"","",z,v,:,t,p,x,n,r,l,k,i,w,a,e,y,o,g,q,s,m,d,u,";
"b,f,j,h,c,"","",!,z,v,:,o,t,p,x,n,r,k,i,w,a,e,y,g,q,s,m,l,d,u,";
"b,y,f,j,h,c,"","",!,z,v,:,o,t,p,x,n,r,k,i,w,a,e,g,q,s,m,l,d,u,";
"b,y,f,j,h,c,"","",!,z,v,:,o,t,k,x,n,r,p,i,w,a,e,g,q,s,m,l,d,u,";
"b,y,f,j,h,"","",!,z,v,c,:,o,t,p,x,n,r,k,i,w,a,e,g,q,s,m,l,d,u,";
"b,y,f,j,h,c,"","",!,z,v,:,o,t,n,r,p,i,w,a,e,g,q,s,m,l,d,k,x,u,";
"b,y,f,j,h,c,"","",!,z,x,u, ,v,:,o,t,n,r,p,i,w,a,e,g,q,s,m,l,d,k";
"b,y,f,j,h,c,"","",!,z,v,:,o,t,n,r,p,i,w,a,e,g,q,s,m,l,x,u, ,d,k";
"b,k,y,f,j,"","",!,z,v,:,h,c,o,t,n,r,p,i,w,a,e,g,q,s,m,l,x,u, ,d";
"b,k,y,f,j,"","",!,z,v,:,h,c,d,o,t,n,r,p,i,w,a,e,g,q,s,m,l,x,u,";
"b,k,y,f,j,"","",!,z,v,:,h,c,u, ,d,o,t,n,r,p,i,w,a,e,g,q,s,m,l,x";
"b,k,y,f,j,"","",!,z,v,:,h,c,d,o,t,n,r,p,i,a,e,g,q,s,m,l,x,u,";,w
"b,k,y,f,j,"","",!,z,v,:,h,c,d,o,t,n,r,p,i,a,e,g,q,s,m,l,u,";,w,x
"b,k,y,f,j,"","",!,z,v,:,h,c,d,o,t,n,r,p,i,u,a,e,g,q,s,m,l,x,";,w
"b,k,!,z,y,f,j,"","",v,:,h,c,d,o,t,n,a,p,i,r,e,l,g,q,s,m,x,u,";,w
